,Title,CharName,Role,ActorName,Gender,Image
63,Your House Helper,ImDaYoung,Main Role,Bona,Female,https://i.mydramalist.com/X1q4d_5c.jpg
64,Record of Youth,WonHaeHyo,Main Role,ByeonWooSeok,Male,https://i.mydramalist.com/wEJy1_5c.jpg
65,Flower Crew: Joseon Marriage Agency,DoJoon,Main Role,ByeonWooSeok,Male,https://i.mydramalist.com/wEJy1_5c.jpg
66,EXO Next Door,,Main Role,ByunBaekHyun,Male,https://i.mydramalist.com/EDDLmc.jpg
67,Moon Lovers: Scarlet Heart Ryeo,WangEun,Support Role,ByunBaekHyun,Male,https://i.mydramalist.com/EDDLmc.jpg
68,Pasta,KimKang,Support Role,ByunJungSoo,Female,https://i.mydramalist.com/qY8j8c.jpg
69,Nail Shop Paris,WooMin,Support Role,ByunWooMin,Male,https://i.mydramalist.com/R48pR_5c.jpg
70,Mr. Sunshine,KimHuiSung,Main Role,ByunYoHan,Male,https://i.mydramalist.com/Wv40pc.jpg
71,Six Flying Dragons,"DdangSae,LeeBangJi",Main Role,ByunYoHan,Male,https://i.mydramalist.com/Wv40pc.jpg
72,Rookie Historian Goo Hae Ryung,"PrinceYiRim,Maehwa,PrinceDowon",Main Role,ChaEunWoo,Male,https://i.mydramalist.com/RRV4Y_5c.jpg
73,True Beauty,LeeSuHo,Main Role,ChaEunWoo,Male,https://i.mydramalist.com/RRV4Y_5c.jpg
74,My ID Is Gangnam Beauty,DoKyungSuk,Main Role,ChaEunWoo,Male,https://i.mydramalist.com/RRV4Y_5c.jpg
75,Sweet Revenge,,Main Role,ChaEunWoo,Male,https://i.mydramalist.com/RRV4Y_5c.jpg
76,Run On,YookJiWoo,Support Role,ChaHwaYun,Female,https://i.mydramalist.com/43l46c.jpg
77,Once Again,JangOkBoon,Main Role,ChaHwaYun,Female,https://i.mydramalist.com/43l46c.jpg
78,Love with Flaws,"JooWonSuk,Bartender]",Support Role,ChaInHa,Male,https://i.mydramalist.com/0NedKc.jpg
79,Wednesday 3:30 PM,GongNaYeon,Support Role,ChaJungWon,Female,https://i.mydramalist.com/2EEpE_5c.jpg
80,A Korean Odyssey,"WooMaWang,WooHwi",Main Role,ChaSeungWon,Male,https://i.mydramalist.com/kWkwdc.jpg
81,You're All Surrounded,SeoPanSeok,Main Role,ChaSeungWon,Male,https://i.mydramalist.com/kWkwdc.jpg
82,The Greatest Love,DokGoJin,Main Role,ChaSeungWon,Male,https://i.mydramalist.com/kWkwdc.jpg
83,Hit the Top,LeeGwangJae,Main Role,ChaTaeHyun,Male,https://i.mydramalist.com/pjYYec.jpg
84,The Producers,PDRaJunMo,Main Role,ChaTaeHyun,Male,https://i.mydramalist.com/pjYYec.jpg
85,Perfume,HanJiNa,Main Role,ChaYeRyun,Female,https://i.mydramalist.com/0Nrg7c.jpg
86,My Lovely Girl,ShinHaeYoon,Main Role,ChaYeRyun,Female,https://i.mydramalist.com/0Nrg7c.jpg
87,The World of the Married,SulMyungSook,Support Role,ChaeGookHee,Female,https://i.mydramalist.com/Reb2gc.jpg
88,When A Man's in Love,BaekSungJoo,Main Role,ChaeJungAn,Female,https://i.mydramalist.com/E0VP5_5c.jpg
89,Man to Man,SongMiEun,Main Role,ChaeJungAn,Female,https://i.mydramalist.com/E0VP5_5c.jpg
90,Yong Pal,LeeChaeYeong,Main Role,ChaeJungAn,Female,https://i.mydramalist.com/E0VP5_5c.jpg
91,Prime Minister and I,SeoHyeJoo,Main Role,ChaeJungAn,Female,https://i.mydramalist.com/E0VP5_5c.jpg
92,Oh! My Lady,YoonGaeHwa,Main Role,ChaeRim,Female,https://i.mydramalist.com/l0g4Nc.jpg
93,Girls' Generation 1979,ParkHyeJoo,Main Role,ChaeSeoJin,Female,https://i.mydramalist.com/XKY4nc.jpg
94,Rebel: Thief Who Stole the People,SongGaRyung,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
95,I'm Not a Robot,"JoJiAh,Aji-3",Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
96,Love in the Moonlight,JoHaYeon,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
97,A Piece of Your Mind,HanSeoWoo,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
98,Where Stars Land,HanYeoReum,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
99,Sassy Go Go,KwonSooAh,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
100,Strongest Deliveryman,LeeDanAh,Main Role,ChaeSooBin,Female,https://i.mydramalist.com/ZoeeOc.jpg
101,Click Your Heart,KangChaNi,Main Role,Chani,Male,https://i.mydramalist.com/E0mPm_5c.jpg
102,Where Your Eyes Linger,,Support Role,CheonSeungHo,Male,https://i.mydramalist.com/RQ6pY_5c.jpg
103,Mr. Heart,JinWon,Main Role,CheonSeungHo,Male,https://i.mydramalist.com/RQ6pY_5c.jpg
104,Weightlifting Fairy Kim Bok Joo,JungNanHee,Support Role,ChoHyeJung,Female,https://i.mydramalist.com/depXW_5c.jpg
105,I Need Romance,SunWooInYoung,Main Role,ChoYeoJung,Female,https://i.mydramalist.com/WB68mc.jpg
106,"Cheat On Me, If You Can",KangYeoJoo,Main Role,ChoYeoJung,Female,https://i.mydramalist.com/WB68mc.jpg
107,The Undateables,ChoiJunSoo,Main Role,ChoiTaeJoon,Male,https://i.mydramalist.com/jbRmJ_5c.jpg
108,Suspicious Partner,JiEunHyuk,Main Role,ChoiTaeJoon,Male,https://i.mydramalist.com/jbRmJ_5c.jpg
109,Missing 9,ChoiTaeHo,Support Role,ChoiTaeJoon,Male,https://i.mydramalist.com/jbRmJ_5c.jpg
110,Ugly Alert,GongHyeonSeok,Main Role,ChoiTaeJoon,Male,https://i.mydramalist.com/jbRmJ_5c.jpg
111,The Package,KimGyungJae,Support Role,ChoiWooShik,Male,https://i.mydramalist.com/xWAE0_5c.jpg
112,The Boy Next Door,ParkKyuTae,Main Role,ChoiWooShik,Male,https://i.mydramalist.com/xWAE0_5c.jpg
113,Ho Goo's Love,KangHoGoo,Main Role,ChoiWooShik,Male,https://i.mydramalist.com/xWAE0_5c.jpg
114,Rooftop Prince,DoChiSan,Main Role,ChoiWooShik,Male,https://i.mydramalist.com/xWAE0_5c.jpg
115,Age of Youth 2,JoEun,Main Role,ChoiARa,Female,https://i.mydramalist.com/B0Jqlc.jpg
116,Live On,KimYooShin,Main Role,ChoiByungChan,Male,https://i.mydramalist.com/Q740Yc.jpg
117,Love Affairs in the Afternoon,LeeYoungJae,Support Role,ChoiByungMo,Male,https://i.mydramalist.com/R3L1Ec.jpg
118,More Than Friends,ShinHyunJae,Main Role,ChoiChanHo,Male,https://i.mydramalist.com/QmoY7c.jpg
119,Jugglers,"DirectorBongJangWoo,Dimwit",Support Role,ChoiDaeChul,Male,https://i.mydramalist.com/2XA5w_5c.jpg
120,Fated to Love You,TakGooDae,Support Role,ChoiDaeChul,Male,https://i.mydramalist.com/2XA5w_5c.jpg
121,Jugglers,NamChiWon,Main Role,ChoiDaniel,Male,https://i.mydramalist.com/xg8WXc.jpg
122,Baby-faced Beauty,ChoiJinWook,Main Role,ChoiDaniel,Male,https://i.mydramalist.com/xg8WXc.jpg
123,Ho Goo's Love,SoShiMin,Support Role,ChoiDeokMoon,Male,https://i.mydramalist.com/j4mzbc.jpg
124,Rookie Historian Goo Hae Ryung,MinIkPyung,Support Role,ChoiDeokMoon,Male,https://i.mydramalist.com/j4mzbc.jpg
125,The Greatest Love,PresidentMoon,Support Role,ChoiHwaJung,Female,https://i.mydramalist.com/QKj24c.jpg
126,Can We Get Married?,DeulRae,Support Role,ChoiHwaJung,Female,https://i.mydramalist.com/QKj24c.jpg
127,Bride of the Century,ChoiIlDo,Support Role,ChoiIlHwa,Male,https://i.mydramalist.com/QlXVv_5c.jpg
128,Witch's Love,KimDongSoo,Support Role,ChoiJaeSub,Male,https://i.mydramalist.com/pVwYV_5c.jpg
129,7 First Kisses,,Main Role,ChoiJiWoo,Female,https://i.mydramalist.com/eVLyQc.jpg
130,Twenty Again,HaNoRa,Main Role,ChoiJiWoo,Female,https://i.mydramalist.com/eVLyQc.jpg
131,Dr. Romantic,DoYoonWan,Support Role,ChoiJinHo,Male,https://i.mydramalist.com/1ld2d_5c.jpg
132,Devilish Joy,GongMaSung,Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
133,Panda and Hedgehog,ChoiWonIl,Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
134,The Last Empress,"NaWangShik,ChunWooBin",Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
135,I Need Romance,BaeSungHyun,Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
136,Emergency Couple,OhChangMin,Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
137,The Heirs,KimWon,Support Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
138,Fated to Love You,DanielPitt,Main Role,ChoiJinHyuk,Male,https://i.mydramalist.com/xYDEzc.jpg
139,7th Grade Civil Servant,OhKwangJae,Support Role,ChoiJongHwan,Male,https://i.mydramalist.com/rzEJp_5c.jpg
140,Stars Falling From the Sky,JinPalKang,Main Role,ChoiJungWon,Female,https://i.mydramalist.com/Zvbz1c.jpg
141,The Master's Sun,KimGwiDo,Support Role,ChoiJungWoo,Male,https://i.mydramalist.com/0vvxKc.jpg
142,Heart to Heart,ChaHongDo,Main Role,ChoiKangHee,Female,https://i.mydramalist.com/dBjrW_5c.jpg
143,Protect the Boss,NoEunSeol,Main Role,ChoiKangHee,Female,https://i.mydramalist.com/dBjrW_5c.jpg
144,7th Grade Civil Servant,"KimSeoWon,KimKyungJa",Main Role,ChoiKangHee,Female,https://i.mydramalist.com/dBjrW_5c.jpg
145,Born Again,ChunSukTae,Support Role,ChoiKwangIl,Male,https://i.mydramalist.com/0RgOe_5c.jpg
146,Rich Man,DirectorNamChulWoo,Support Role,ChoiKwangIl,Male,https://i.mydramalist.com/0RgOe_5c.jpg
147,King2Hearts,KwonYeongBae,Support Role,ChoiKwon,Male,https://i.mydramalist.com/eWEye_5c.jpg
148,Somehow 18,OhKyungHwi,Main Role,ChoiMinHo,Male,https://i.mydramalist.com/XbLZnc.jpg
149,Hwarang,KimSooHo,Support Role,ChoiMinHo,Male,https://i.mydramalist.com/XbLZnc.jpg
150,To The Beautiful You,KangTaeJoon,Main Role,ChoiMinHo,Male,https://i.mydramalist.com/XbLZnc.jpg
151,Lawless Lawyer,AhnOhJoo,Main Role,ChoiMinSoo,Male,https://i.mydramalist.com/dwZOdc.jpg
152,Cinderella and the Four Knights,LeeYoonSung,Main Role,ChoiMinSung,Male,https://i.mydramalist.com/RA2yzc.jpg
153,Pasta,NeMo,Support Role,ChoiMinSung,Male,https://i.mydramalist.com/RA2yzc.jpg
154,Cruel City,"Safari,MoonDeokBae",Support Role,ChoiMooSung,Male,https://i.mydramalist.com/jbgnz_5c.jpg
155,Marry Him If You Dare,NaMiRae,Support Role,ChoiMyungGil,Female,https://i.mydramalist.com/1gDxzc.jpg
156,My First First Love,OhGaRin,Main Role,ChoiRi,Female,https://i.mydramalist.com/WN21Dc.jpg
157,Plus Nine Boys,KangDongGoo,Main Role,ChoiRoWoon,Male,https://i.mydramalist.com/2nDV2_5c.jpg
158,Somehow 18,BaekJinWook,Support Role,ChoiSeoHyuk,Male,https://i.mydramalist.com/RZ1KRc.jpg
159,Revolutionary Love,ByeonHyeok,Main Role,ChoiShiWon,Male,https://i.mydramalist.com/pjkLDc.jpg
160,The King of Dramas,KangHyunMin,Main Role,ChoiShiWon,Male,https://i.mydramalist.com/pjkLDc.jpg
161,Oh! My Lady,SungMinWoo,Main Role,ChoiShiWon,Male,https://i.mydramalist.com/pjkLDc.jpg
162,She Was Pretty,KimShinHyuk,Main Role,ChoiShiWon,Male,https://i.mydramalist.com/pjkLDc.jpg
163,I Need Romance,KangHyunJoo,Main Role,ChoiSongHyun,Female,https://i.mydramalist.com/kVZWOc.jpg
164,Prosecutor Princess,JinJungSun,Main Role,ChoiSongHyun,Female,https://i.mydramalist.com/kVZWOc.jpg
165,Hi! School - Love On,AhnJiHye,Support Role,ChoiSooRin,Female,https://i.mydramalist.com/E0dmm_5c.jpg
166,Dating Agency: Cyrano,GongMinYoung,Main Role,ChoiSooYoung,Female,https://i.mydramalist.com/eW85d_5c.jpg
167,Run On,SeoDanAh,Main Role,ChoiSooYoung,Female,https://i.mydramalist.com/eW85d_5c.jpg
168,Prosecutor Princess,ChaeJiWoon,Support Role,ChoiSungHo,Male,https://i.mydramalist.com/Nd4bec.jpg
169,My Absolute Boyfriend,NamBoWon,Main Role,ChoiSungWon,Male,https://i.mydramalist.com/AYWVPc.jpg
170,Twenty Again,KimWooChul,Main Role,ChoiWonYoung,Male,https://i.mydramalist.com/QBrn6_5c.jpg
171,My Holo Love,GoYooJin,Support Role,ChoiYeoJin,Female,https://i.mydramalist.com/18Kgd_5c.jpg
172,I Need Romance,ParkSeoYun,Main Role,ChoiYeoJin,Female,https://i.mydramalist.com/18Kgd_5c.jpg
173,The Lover,"ManGoo,ChoiJinNyeo,Room610",Main Role,ChoiYeoJin,Female,https://i.mydramalist.com/18Kgd_5c.jpg
174,Emergency Couple,ShimJiHye,Main Role,ChoiYeoJin,Female,https://i.mydramalist.com/18Kgd_5c.jpg
175,Where Your Eyes Linger,ChoiHyeMi,Support Role,ChoiYeonCheong,Female,https://i.mydramalist.com/pzPbr_5c.jpg
176,The Time We Were Not in Love,StewardessLeeSoEun,Support Role,ChooSooHyun,Female,https://i.mydramalist.com/p2NAbc.jpg
177,You Make Me Dance,SongShiOn,Main Role,ChuYoungWoo,Male,https://i.mydramalist.com/RywoR_5c.jpg
178,Once Again,SongYoungDal,Main Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
179,The Bridal Mask,KimuraTaro,Support Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
180,Doctor Stranger,PrimeMinisterJangSeokJoo,Support Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
181,Six Flying Dragons,GeneralLeeSeongGye,Main Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
182,Love in the Moonlight,KimHeon,Support Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
183,My Strange Hero,ParkDongJun,Support Role,ChunHoJin,Male,https://i.mydramalist.com/pkNw8c.jpg
184,Heart to Heart,KoYiSeok,Main Role,ChunJungMyung,Male,https://i.mydramalist.com/08rD4_5c.jpg
185,Cinderella's Sister,HongKiHoon,Main Role,ChunJungMyung,Male,https://i.mydramalist.com/08rD4_5c.jpg
186,Emergency Couple,LeeYeongAe,Support Role,ChunMinHee,Female,https://i.mydramalist.com/Rez3xc.jpg
187,Be Melodramatic,ImJinJoo,Main Role,ChunWooHee,Female,https://i.mydramalist.com/23LA2c.jpg
188,Emergency Couple,HanAhReum,Main Role,ClaraLee,Female,https://i.mydramalist.com/XdX8dc.jpg
189,Monstar,KimNaNa,Main Role,DaHee,Female,https://i.mydramalist.com/oQO0Pc.jpg
190,Click Your Heart,LeeDaWon,Main Role,Dawon,Male,https://i.mydramalist.com/dZRBe_5c.jpg
191,Hwarang,ParkBanRyu,Support Role,DoJiHan,Male,https://i.mydramalist.com/1gbkzc.jpg
192,Healer,ChoiMyungHee,Support Role,DoJiWon,Female,https://i.mydramalist.com/vy1j2c.jpg
193,100 Days My Prince,"CrownPrinceLeeYool,NaWonDeuk",Main Role,DoKyungSoo,Male,https://i.mydramalist.com/43e46c.jpg
194,EXO Next Door,,Main Role,DoKyungSoo,Male,https://i.mydramalist.com/43e46c.jpg
195,Queen: Love And War,LeeJaeHwa,Main Role,DoSangWoo,Male,https://i.mydramalist.com/BwgA5c.jpg
196,Backstreet Rookie,JoSeungJoon,Main Role,DoSangWoo,Male,https://i.mydramalist.com/BwgA5c.jpg
197,Suspicious Partner,JungHyunSoo,Support Role,DongHa,Male,https://i.mydramalist.com/EQBd0_5c.jpg
198,Hit the Top,LeeWonBin,Support Role,DongHyunBae,Male,https://i.mydramalist.com/kObjbc.jpg
199,Another Miss Oh,ParkDoKyung,Main Role,EricMun,Male,https://i.mydramalist.com/5y5Jyc.jpg
200,Myung Wol the Spy,KangWoo,Main Role,EricMun,Male,https://i.mydramalist.com/5y5Jyc.jpg
201,Discovery of Romance,KangTaeHa,Main Role,EricMun,Male,https://i.mydramalist.com/5y5Jyc.jpg
202,Because This is My First Life,WooSooJi,Main Role,Esom,Female,https://i.mydramalist.com/18ED5_5c.jpg
203,The Third Charm,LeeYeongJae,Main Role,Esom,Female,https://i.mydramalist.com/18ED5_5c.jpg
204,"King of Baking, Kim Tak Goo",ShinYooKyung,Main Role,Eugene,Female,https://i.mydramalist.com/RyoYV_5c.jpg
205,Reply 1997,DoHakChan,Main Role,EunJiWon,Male,https://i.mydramalist.com/2qKdOc.jpg
206,Let's Eat,HyunKwangSuk,Support Role,Feeldog,Male,https://i.mydramalist.com/RyNv6_5c.jpg
207,Queen In Hyun's Man,JoSooKyung,Main Role,GaDeukHi,Female,https://i.mydramalist.com/aElP5c.jpg
208,Mary Stayed Out All Night,YoHan,Support Role,GeumHoSuk,Male,https://i.mydramalist.com/GlBL4c.jpg
209,Angel's Last Mission: Love,"GeumRuNa,NiNa'ssister]",Support Role,GilEunHye,Female,https://i.mydramalist.com/VJNd0c.jpg
210,Orange Marmalade,JoAhRa,Support Role,GilEunHye,Female,https://i.mydramalist.com/VJNd0c.jpg
211,Black,KangHaRam,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
212,Miss Hammurabi,ParkChaOhReum,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
213,You're All Surrounded,EoSooSun,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
214,Reply 1994,SungNaJung,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
215,Hwarang,AhRo,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
216,Do Do Sol Sol La La Sol,GooRaRa,Main Role,GoAhRa,Female,https://i.mydramalist.com/ejKbK_5c.jpg
217,Radiant Office,EunHoWon,Main Role,GoAhSung,Female,https://i.mydramalist.com/xW5v0_5c.jpg
218,"Hi Bye, Mama!",OhMinJung,Main Role,GoBoGyeol,Female,https://i.mydramalist.com/vn4gpc.jpg
219,Go Back Couple,MinSeoYoung,Support Role,GoBoGyeol,Female,https://i.mydramalist.com/vn4gpc.jpg
220,Queen for Seven Days,YoonMyungHye,Support Role,GoBoGyeol,Female,https://i.mydramalist.com/vn4gpc.jpg
221,High Society,MinHyeSoo,Support Role,GoDooShim,Female,https://i.mydramalist.com/RJnePc.jpg
222,Mama Fairy and the Woodcutter,SunOkNam,Main Role,GoDooShim,Female,https://i.mydramalist.com/RJnePc.jpg
223,You Are The Best!,KimJungAe,Main Role,GoDooShim,Female,https://i.mydramalist.com/RJnePc.jpg
224,K-POP - The Ultimate Audition,JiSeungYun,Main Role,GoEunAh,Female,https://i.mydramalist.com/X2KPpc.jpg
225,I'm Not a Robot,Ssanip,Support Role,GoGeonHan,Male,https://i.mydramalist.com/EQwd5_5c.jpg
226,Clean With Passion For Now,JeonYoungShik,Support Role,GoGeonHan,Male,https://i.mydramalist.com/EQwd5_5c.jpg
227,Star of the Universe,ManagerGo,Support Role,GoGyuPil,Male,https://i.mydramalist.com/4r2Ld_5c.jpg
228,Operation Proposal,OhTaeBeom,Support Role,GoInBeom,Male,https://i.mydramalist.com/XOqkd_5c.jpg
229,Oh My Baby,HanYiSang,Main Role,GoJoon,Male,https://i.mydramalist.com/EQ2EQ_5c.jpg
230,"Cheat On Me, If You Can",HanWooSung,Main Role,GoJoon,Male,https://i.mydramalist.com/EQ2EQ_5c.jpg
231,Misty,"KevinLee,LeeJaeYoung",Support Role,GoJoon,Male,https://i.mydramalist.com/EQ2EQ_5c.jpg
232,She Was Pretty,MinHaRi,Main Role,GoJoonHee,Female,https://i.mydramalist.com/jVKw8c.jpg
233,Queen of Ambition,SeokSooJung,Main Role,GoJoonHee,Female,https://i.mydramalist.com/jVKw8c.jpg
